_protocol,_address,_date,_type,_subject,_body,_toa,_sc_toa,_service_center,_read,_status,_locked,_date_sent,_sub_id,_readable_date,_contact_name
0,AD-rajpol,1.70E+12,1,,Complaint No 279970242301096 registered  at  CHITRAKOOT. Download  cctns.rajasthan.gov.in/cctns/ViewComplaintBySms?CompNo=XBZ/WJ,,,9.20E+11,1,-1,0,1.70E+12,1,17-10-2023 18:34,(Unknown)
0,AX-rajpol,1.70E+12,1,,"EO has been assigned on your Complaint(not FIR) No:279970242301096 <Jaswant Kumar ,9414784675>. Rajasthan Police is always at your service.",,,9.20E+11,1,-1,0,1.70E+12,1,18-10-2023 11:54,(Unknown)
0,9.19E+11,1.70E+12,2,,"I am Sankar Rao from Mumbai, and I have an idea based on millets, encompassing the entire process from crop to consumption. I would like to discuss this idea further with Vamshi. If the concept proves feasible, we can explore potential collaboration opportunities.

Could you please provide me with Vamshi's contact number so we can schedule a detailed discussion?

Thank you for your time and consideration.

Sincerely,

Sankar Rao",,,,1,-1,0,0,1,29-11-2023 02:55,(Unknown)
0,AD-AIRDOT,1.72E+12,1,,"Alert: On receiving any unwanted SMS , please complain by calling 1909 or send SMS to 1909 in format 'SMS Content, Sender No, dd/mm/yy' or visit bit.ly/2qBK0vp to report through Airtel Thanks App.",,,9.20E+11,1,-1,0,1.72E+12,3,01-06-2024 21:51,(Unknown)
0,AX-VBFOOD,1.72E+12,1,,CreditChangeCrDayCrLmt Join group to learn about the latest bull market:chat.whatsapp.com/C8Wyr6xxRMYKbr5LKTtSKj RegardsVishwabharatiFoods,,,9.20E+11,0,-1,0,1.72E+12,1,04-06-2024 11:57,(Unknown)
0,AX-ARTLAD,1.72E+12,1,,Gold loan now home delivered for Dear Customer! Enjoy- 1. Interest rate starting  1.08%* per month 2. Triple layer security & 100% gold insurance at NO extra cost 3. Powered by Muthoot FinCorp Get a Gold Loans from Airtel Finance now https://i.airtel.in/FSGLPSH,,,9.20E+11,1,-1,0,1.72E+12,1,04-06-2024 13:01,(Unknown)
0,9.16E+11,1.72E+12,1,,"In a meeting, please text/WhatsApp! If urgent, I will get back to you at the earliest thank you. ",,,9.17E+11,1,-1,0,1.72E+12,1,10-06-2024 18:58,(Unknown)
0,9.16E+11,1.72E+12,2,,"This is Sankar Rao Mumbai and we are looking to setup 10TPD napier based bio cng plant, can u know what was approx cost for purification system ",,,,1,-1,0,0,1,10-06-2024 19:00,(Unknown)
0,9.16E+11,1.72E+12,1,,Thank you for your interest in AtmosPower’s technologies. Please email us on palaash@atmospower.in & mkt@atmospower.net with your inquiry and our technical team will contact you,,,9.17E+11,1,-1,0,1.72E+12,1,10-06-2024 19:00,(Unknown)
0,VM-551515,1.72E+12,1,,"GRT Jewellers Dazzling Diamond Festival, Get Upto 25% off on Diamond & Uncut Diamond value, enjoy exciting offer on platinum *T&C. t.ly/iBf3k",,,9.20E+11,0,-1,0,1.72E+12,1,23-06-2024 11:40,(Unknown)
0,AD-AIRTEL,1.72E+12,1,,"Want to keep using your corporate number for personal foreign trips? 
Now you can pay in advance & activate Airtel international roaming pack by yourself. To explore packs, visit https://i.airtel.in/IRCOCP",,,9.20E+11,1,-1,0,1.72E+12,3,02-07-2024 13:15,(Unknown)
0,AD-AIRTEL,1.72E+12,1,,"Don't miss out on superior indoor coverage with Airtel WiFi Calling! For better experience, change your smartphone settings today. Click here u.airtel.in/hKOOl5",,,9.20E+11,1,-1,0,1.72E+12,3,07-07-2024 11:11,(Unknown)
0,AD-AIRTEL,1.72E+12,1,,Airtel WiFi కాలింగ్తో మెరుగైన ఇండోర్ కవరేజీని మిస్ అవ్వకండి! ఈరోజు మెరుగైన అనుభవం కోసం మీ స్మార్ట్ఫోన్ సెట్టింగ్లను మార్చండి. ఇక్కడ క్లిక్ చేయండి u.airtel.in/hKOOl5,,,9.20E+11,1,-1,0,1.72E+12,1,07-07-2024 11:11,(Unknown)
0,AD-AIRDOT,1.72E+12,1,,"Report complaints related to cyber crime at National Cyber Crime Reporting Portal 

(https://cybercrime.gov.in) of MHA.",,,9.20E+11,1,-1,0,1.72E+12,1,07-07-2024 22:34,(Unknown)
0,AD-AIRDOT,1.72E+12,1,,"Report complaints related to cyber crime at National Cyber Crime Reporting Portal 

(https://cybercrime.gov.in) of MHA.",,,9.20E+11,1,-1,0,1.72E+12,3,07-07-2024 22:35,(Unknown)
